Year,Make,Model,Condition,Price,Consumer_Rating,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",5,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$44,000 ",5,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.9,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$44,000 ",5,,,,,,,,,,
2023,Honda,CR-V EX,New,"$34,250 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,150 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,240 ",4.7,,,,,,,,,,
2023,Honda,Odyssey Touring,New,"$46,400 ",4.4,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$41,110 ",4.8,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$42,000 ",5,,,,,,,,,,
2023,Honda,Passport Elite,New,"$48,250 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$40,770 ",5,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,406 ",4.3,,,,,,,,,,
2023,Honda,Pilot Touring 8-Passenger,New,"$50,350 ",4.3,,,,,,,,,,
2023,Honda,CR-V EX-L,New,"$36,900 ",4.6,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$43,687 ",4.8,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$41,765 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$48,820 ",4.8,,,,,,,,,,
2022,Honda,Accord Hybrid Base,New,"$32,164 ",5,,,,,,,,,,
2023,Honda,HR-V LX,New,"$24,894 ",4.6,,,,,,,,,,
2022,Honda,Accord Hybrid Base,New,"$32,559 ",5,,,,,,,,,,
2022,Honda,Civic Sport,New,"$25,044 ",4.6,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$44,695 ",4.8,,,,,,,,,,
2023,Honda,Odyssey Elite,New,"$51,160 ",4.5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$44,420 ",4.5,,,,,,,,,,
2023,Honda,Pilot EX-L 7-Passenger,New,"$43,545 ",4.8,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$45,537 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL-E,New,"$42,869 ",5,,,,,,,,,,
2022,Honda,Pilot Touring 7-Passenger,New,"$48,860 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,470 ",4.7,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",3.9,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,,,,,,,,,,
2023,Honda,Ridgeline RTL,New,"$43,470 ",4.8,,,,,,,,,,
2022,Honda,Pilot EX-L,New,"$43,605 ",5,,,,,,,,,,
2022,Honda,Pilot Special Edition,New,"$40,666 ",5,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$42,435 ",5,,,,,,,,,,
2023,Honda,Passport Elite,New,"$43,344 ",5,,,,,,,,,,
2023,Honda,CR-V EX,New,"$33,250 ",4.7,,,,,,,,,,
2023,Honda,Accord EX-L 1.5T,New,"$30,705 ",4.7,,,,,,,,,,
2022,Honda,Accord Hybrid Sport,New,"$34,555 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$39,995 ",4.6,,,,,,,,,,
2023,Honda,CR-V Hybrid Sport Touring,New,"$40,988 ",5,,,,,,,,,,
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",4.7,,,,,,,,,,
2023,Honda,HR-V EX-L,New,"$31,040 ",4.8,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.7,,,,,,,,,,
2022,Honda,Pilot Sport,New,"$41,770 ",4.6,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,105 ",4.6,,,,,,,,,,
2022,Honda,Pilot Black Edition,New,"$53,560 ",4.6,,,,,,,,,,
2022,Honda,Passport Elite,New,"$50,125 ",4.6,,,,,,,,,,
2023,Honda,Ridgeline Black Edition,New,"$47,920 ",4.7,,,,,,,,,,
2023,Honda,Passport TrailSport,New,"$45,290 ",4.7,,,,,,,,,,
2022,Honda,Pilot TrailSport,New,"$46,105 ",5,,,,,,,,,,
